"Media ID","Media Name","Views","Unique Views","CTR","Clicks","Unique Clicks","Signups","Depositing Customers","Active Customers","New Depositing Customers","New Active Customers","First Time Depositing Customers","First Time Active Customers","Deposits","Net Revenue"
"3182","NO Unibet Bingo Text Link €25 Bonus registration page","0","0","100.00%","1","1","0","0","0","0","0","0","0","€0.00","€0.00"
"4363","UK_Poker_300x250.gif","2","2","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"5270","SE_Casino_BR/ Starburst_BF_300x250.gif","2","2","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"6052","SE Casino Text Link - 1000 SEK Bonus - Redirect to Generic Registration","0","0","200.00%","2","2","0","0","0","0","0","0","0","€0.00","€0.00"
"6296","UK Maria Casino Live Casino 300x250","1","1","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"9042","NO Maria Casino Rotating 300x250 Duplicate","7","7","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"10931","EN_INT Bingo.com_Casino_Generic_Banners 728x90","2","2","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"13711","NO Unibet Casino Text link Games NO 500 NOK Kroensautomaten Registration page","0","0","200.00%","2","2","0","0","0","0","0","0","0","€0.00","€0.00"
"13712","NO Unibet Casino Text Link Generic Registration Page","0","0","1,200.00%","12","12","0","0","0","0","0","0","0","€0.00","€0.00"
"15225","UK Unibet Poker 300x250","2","2","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"15600","MARIA NO Text link Bingo Redirect to Bingo Lobby, standard offer","0","0","200.00%","2","2","0","2","2","0","0","0","0","€90.49","€51.69"
"17418","NO Maria Casino Rotating 300x250","6","6","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"20000","No Unibet Casino Text Link Casino Lobby","0","0","100.00%","1","1","0","0","0","0","0","0","0","€0.00","€0.00"
"21525","GEO-Targeted Text Link - Unibet Casino - Redirect to Table Games LP (Standard Bonus)","0","0","100.00%","1","1","0","0","0","0","0","0","0","€0.00","€0.00"
"21636","SE Maria Casino Banner Live Casino 300x250","2","2","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"22344","UK Text Link Casino - Redirect to Registration Page + Standard bonus","0","0","1,600.00%","16","16","0","0","0","0","0","0","0","€0.00","€0.00"
"22873","MARIA SE Text Link Slots Redirect to Landing Page with bonus","0","0","200.00%","2","2","0","0","0","0","0","0","0","€0.00","€0.00"
"23299","NO Unibet Poker Banner 2016 - Poker v2 300x250","12","12","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"23301","SE Unibet Poker Banner 2016 - Poker v2 300x250","1","1","0.00%","0","0","0","0","0","0","0","0","0","€0.00","€0.00"
"Totals:","","37","37","","39","39","0","2","2","0","0","0","0","€90.49","€51.69"
